id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA
1807,1729,1729,2008/2009,16,8659,8462,1,1,2.62,3.25,2.75,2.5,3.15,2.6,2.5,3.2,2.5,2.6,3.4,2.6,2.6,3.2,2.7,2.65,3.25,2.7
1808,1729,1729,2008/2009,16,8667,8549,2,1,2.38,3.25,3.1,2.2,3.15,3.05,2.3,3.2,2.7,2.38,3.25,3,2.4,3.3,2.9,2.35,3.2,3.1
1809,1729,1729,2008/2009,17,8650,8667,2,2,1.33,5,10,1.3,4.5,9,1.3,4.4,8.5,1.33,4,8,1.33,4.6,10,1.33,4.8,10
1810,1729,1729,2008/2009,17,8472,8659,4,0,2,3.4,3.8,2,3.15,3.5,2,3.2,3.3,2,3.2,3.2,2.15,3.3,3.4,2,3.3,3.8
1811,1729,1729,2008/2009,17,8586,10260,0,0,4.5,3.5,1.83,4.2,3.25,1.8,3.8,3.2,1.85,4.5,3.5,1.8,4.5,3.5,1.8,4.35,3.6,1.8
1812,1729,1729,2008/2009,17,10252,8559,4,2,1.67,3.6,5.5,1.65,3.4,5,1.65,3.4,4.7,1.62,3.25,5,1.67,3.5,5.5,1.65,3.6,5.5
1813,1729,1729,2008/2009,17,8549,9825,1,1,4.5,3.6,1.8,4.4,3.3,1.75,4,3.2,1.8,4.33,3.2,1.73,5,3.5,1.73,5,3.5,1.75
1814,1729,1729,2008/2009,17,8456,8668,0,1,2,3.4,3.8,2.05,3.15,3.4,2,3.2,3.3,1.91,3.25,3.4,2.05,3.3,3.6,2,3.4,3.75
1815,1729,1729,2008/2009,17,8462,10261,0,3,2.05,3.2,3.4,1.9,3.25,3.75,2,3.2,3.3,2.1,3.3,3.5,2,3.3,3.8,2,3.4,3.6
1816,1729,1729,2008/2009,17,10194,9879,0,0,2.5,3.25,2.88,2.25,3.15,2.95,2.3,3.1,2.8,2.2,3.2,2.8,2.5,3.2,2.88,2.4,3.3,2.9
1817,1729,1729,2008/2009,17,8528,8655,3,0,2.1,3.3,3.6,1.95,3.2,3.65,2,3.2,3.3,2,3.2,3.2,2.05,3.3,3.6,2,3.4,3.75
1818,1729,1729,2008/2009,17,8455,8654,1,1,1.25,5.5,15,1.22,5.25,11,1.25,4.8,9.5,1.25,5.5,12,1.22,5.5,15,1.22,5.8,15
1819,1729,1729,2008/2009,18,10260,8528,1,0,1.2,6,15,1.2,5.5,12,1.22,5,10,1.2,5,11,1.22,4.8,10,1.2,6.5,15
1820,1729,1729,2008/2009,18,9825,8650,1,1,2.4,3.25,3,2.3,3.15,2.85,2.3,3.1,2.8,2.4,3.2,3,2.38,3.1,3.1,2.4,3.2,2.9
1821,1729,1729,2008/2009,18,8654,10252,0,1,3,3.4,2.37,2.95,3.15,2.25,2.8,3.1,2.3,3,3.25,2.38,3,3.25,2.38,2.9,3.3,2.35
1822,1729,1729,2008/2009,18,8668,8455,0,0,5,3.6,1.73,4.7,3.35,1.7,4.2,3.3,1.75,5,3.5,1.73,5,3.6,1.7,5,3.5,1.73
1823,1729,1729,2008/2009,18,10261,8586,2,1,2.37,3.4,3,2.35,3.15,2.8,2.4,3.1,2.7,2.5,3.3,2.8,2.5,3.3,2.8,2.5,3.4,2.7
1824,1729,1729,2008/2009,18,8655,10194,3,0,1.83,3.5,4.5,1.8,3.25,4.2,1.9,3.2,3.6,1.8,3.5,4.5,1.83,3.4,4.5,1.8,3.5,4.35
1825,1729,1729,2008/2009,18,9879,8549,3,0,2.2,3.25,3.5,2.1,3.15,3.25,2.1,3.1,3.2,2.2,3.3,3.3,2.2,3.2,3.4,2.1,3.3,3.5
